Startdatum,Enddatum,Ort,Anzahl der Waldbrände,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar
2010-06-01,2010-06-30,Nordrhein-Westfalen,6,2,30,16.84,14.199999999999998,0.7376666666666666,74.43333333333334,849507
2010-06-01,2010-06-30,Rheinland-Pfalz,3,2,30,17.06,12.97,1.3433333333333335,71.3,805440
2010-06-01,2010-06-30,Saarland,0,2,30,16.37333333333334,13.669999999999998,1.5366666666666666,71.8,85623
2010-06-01,2010-06-30,Sachsen,12,2,30,16.900000000000002,13.610000000000005,1.1643333333333337,70.86666666666666,495184
2010-06-01,2010-06-30,Sachsen-Anhalt,9,2,30,17.353333333333335,14.030000000000005,0.5633333333333332,67.93333333333334,456545
2010-06-01,2010-06-30,Schleswig-Holstein,2,2,30,14.586666666666666,17.476666666666667,2.2963333333333327,77.13333333333334,162014
2010-06-01,2010-06-30,Thuringen,9,2,30,16.096666666666668,13.00333333333333,0.7833333333333333,69.2,527936
2010-07-01,2010-07-31,Baden-Wurttemberg,1,2,31,21.09677419354839,11.735483870967744,2.593548387096774,67.6774193548387,1352564
2010-07-01,2010-07-31,Bayern,18,2,31,17.503225806451614,12.532258064516126,6.6803225806451625,80.7741935483871,2487176
2010-07-01,2010-07-31,Berlin,0,2,31,22.845161290322583,13.61935483870968,2.121935483870968,57.516129032258064,15752
2010-07-01,2010-07-31,Brandenburg,150,2,31,22.51290322580645,13.61290322580645,1.9806451612903224,57.58064516129032,1030796
2010-07-01,2010-07-31,Bremen,0,2,31,20.816129032258065,15.541935483870969,1.7177419354838712,66.0,461
2010-07-01,2010-07-31,Hamburg,0,2,31,20.97741935483871,14.845161290322585,1.0000000000000002,68.25806451612904,4016
2010-07-01,2010-07-31,Hessen,15,2,31,20.5258064516129,11.229032258064514,3.048387096774193,71.09677419354838,839306
2010-07-01,2010-07-31,Mecklenburg-Vorpommern,19,2,31,21.387096774193548,16.970967741935482,0.7648387096774193,63.935483870967744,490225
2010-07-01,2010-07-31,Niedersachsen,46,2,31,21.293548387096774,14.709677419354838,1.1838709677419357,65.2258064516129,1014470
2010-07-01,2010-07-31,Nordrhein-Westfalen,10,2,31,20.83870967741936,14.5,2.2741935483870965,66.87096774193549,849507
2010-07-01,2010-07-31,Rheinland-Pfalz,8,2,31,20.44193548387097,12.412903225806453,2.6241935483870966,68.61290322580645,805440
2010-07-01,2010-07-31,Saarland,1,2,31,19.567741935483863,13.174193548387098,2.46741935483871,69.09677419354838,85623
2010-07-01,2010-07-31,Sachsen,44,2,31,21.36774193548387,12.600000000000003,3.275806451612904,65.06451612903226,495184
2010-07-01,2010-07-31,Sachsen-Anhalt,45,2,31,22.42258064516129,13.003225806451614,1.9525806451612904,56.74193548387097,456545
2010-07-01,2010-07-31,Schleswig-Holstein,1,2,31,19.72903225806452,18.293548387096774,1.803225806451613,70.54838709677419,162014
2010-07-01,2010-07-31,Thuringen,4,2,31,20.82258064516129,12.219354838709672,1.87,59.193548387096776,527936
2010-08-01,2010-08-31,Baden-Wurttemberg,0,2,31,17.487096774193553,15.21935483870968,4.705483870967743,77.06451612903226,1352564
2010-08-01,2010-08-31,Bayern,14,2,31,14.477419354838712,11.106451612903223,8.225483870967741,87.09677419354838,2487176
2010-08-01,2010-08-31,Berlin,7,2,31,18.216129032258067,14.664516129032256,6.258064516129032,79.51612903225806,15752
2010-08-01,2010-08-31,Brandenburg,3,2,31,17.974193548387102,15.05806451612903,5.089354838709678,78.6774193548387,1030796
2010-08-01,2010-08-31,Bremen,0,2,31,16.741935483870964,16.296774193548384,4.713225806451613,83.12903225806451,461
2010-08-01,2010-08-31,Hamburg,0,2,31,16.877419354838704,15.341935483870971,4.444516129032257,83.70967741935483,4016
2010-08-01,2010-08-31,Hessen,0,2,31,17.025806451612905,13.567741935483872,5.467096774193548,79.03225806451613,839306
2010-08-01,2010-08-31,Mecklenburg-Vorpommern,1,2,31,17.458064516129042,18.67741935483871,5.1506451612903215,79.87096774193549,490225
2010-08-01,2010-08-31,Niedersachsen,15,2,31,17.012903225806454,15.464516129032251,5.924193548387096,82.45161290322581,1014470
2010-08-01,2010-08-31,Nordrhein-Westfalen,3,2,31,16.693548387096776,15.425806451612903,6.190645161290322,83.51612903225806,849507
2010-08-01,2010-08-31,Rheinland-Pfalz,1,2,31,16.729032258064517,15.690322580645162,3.8664516129032256,78.0,805440
2010-08-01,2010-08-31,Saarland,0,2,31,16.012903225806454,16.570967741935487,4.4806451612903215,77.7741935483871,85623
2010-08-01,2010-08-31,Sachsen,1,2,31,17.470967741935485,14.25806451612903,8.664193548387098,82.25806451612904,495184
2010-08-01,2010-08-31,Sachsen-Anhalt,3,2,31,17.935483870967747,15.006451612903223,5.223548387096773,76.48387096774194,456545
2010-08-01,2010-08-31,Schleswig-Holstein,0,2,31,16.52258064516129,18.01935483870968,4.604838709677419,82.0,162014
2010-08-01,2010-08-31,Thuringen,0,2,31,16.322580645161292,15.493548387096777,4.6909677419354825,78.61290322580645,527936
2010-09-01,2010-09-30,Baden-Wurttemberg,2,3,30,13.046666666666669,11.856666666666664,2.6876666666666664,80.76666666666667,1352564
2010-09-01,2010-09-30,Bayern,1,3,30,10.25,10.466666666666669,2.5926666666666667,84.36666666666666,2487176
2010-09-01,2010-09-30,Berlin,0,3,30,13.220000000000002,15.326666666666666,3.15,83.9,15752
2010-09-01,2010-09-30,Brandenburg,0,3,30,13.126666666666669,15.306666666666665,3.933,84.5,1030796
2010-09-01,2010-09-30,Bremen,0,3,30,12.990000000000002,17.173333333333336,3.034,86.63333333333334,461
2010-09-01,2010-09-30,Hamburg,0,3,30,12.83666666666667,16.94,3.708333333333333,87.0,4016
2010-09-01,2010-09-30,Hessen,0,3,30,12.766666666666667,11.113333333333332,2.518666666666667,81.96666666666667,839306
