Startdatum,Enddatum,Ort,Jahreszeit,Dauer,avgtemp_c,maxwind_kph,totalprecip_mm,avghumidity,Waldfläche in Hektar,Anzahl der Waldbrände
2022-02-01,2022-02-28,Hamburg,4,28,4.8,28.5,5.3,82.3,4270,0
2015-05-01,2015-05-31,Nordrhein-Westfalen,1,31,12.3,23.5,1.3,72.4,849507,3
2021-01-01,2021-01-31,Mecklenburg-Vorpommern,4,31,1.2,24.9,2.3,88.2,495207,0
2015-12-01,2015-12-31,Thuringen,4,31,5.1,18.8,0.7,90.5,527936,1
2015-06-01,2015-06-30,Mecklenburg-Vorpommern,2,30,14.6,24.0,1.3,73.2,490225,6
2016-08-01,2016-08-31,Nordrhein-Westfalen,2,31,18.2,18.2,1.5,78.1,849507,2
2017-03-01,2017-03-31,Thuringen,1,31,6.2,16.9,1.4,84.6,527936,1
2016-10-01,2016-10-31,Sachsen,3,31,8.5,14.8,2.6,87.8,495184,0
2020-03-01,2020-03-31,Nordrhein-Westfalen,1,31,6.3,22.0,2.4,69.1,849507,6
2011-03-01,2011-03-31,Sachsen-Anhalt,1,31,4.8,16.7,0.5,75.7,456545,3
2015-07-01,2015-07-31,Niedersachsen,2,31,18.2,25.1,3.2,69.2,1014470,15
2011-06-01,2011-06-30,Rheinland-Pfalz,2,30,16.4,15.6,2.6,80.6,805440,11
2013-05-01,2013-05-31,Schleswig-Holstein,1,31,11.5,18.2,2.9,84.5,162014,0
2019-11-01,2019-11-30,Baden-Wurttemberg,3,30,5.7,13.5,1.8,85.1,1352564,0
2013-03-01,2013-03-31,Sachsen,1,31,-1.8,17.1,1.1,91.1,495184,0
2012-06-01,2012-06-30,Mecklenburg-Vorpommern,2,30,14.2,20.8,2.5,83.0,490225,3
2013-08-01,2013-08-31,Sachsen,2,31,18.8,12.8,1.7,65.2,495184,4
2020-09-01,2020-09-30,Schleswig-Holstein,3,30,14.3,17.5,0.7,79.7,162014,0
2017-03-01,2017-03-31,Bayern,1,31,4.5,11.4,5.5,86.6,2487176,4
2020-01-01,2020-01-31,Nordrhein-Westfalen,4,31,5.3,19.1,1.4,82.6,849507,1
2018-03-01,2018-03-31,Hessen,1,31,4.7,12.6,1.5,78.0,839306,0
2019-03-01,2019-03-31,Baden-Wurttemberg,1,31,7.9,19.8,3.4,72.7,1352564,2
2017-01-01,2017-01-31,Sachsen-Anhalt,4,31,-2.2,17.2,1.3,89.8,456545,0
2020-06-01,2020-06-30,Sachsen,2,30,17.4,15.3,2.3,77.3,495184,10
2019-11-01,2019-11-30,Mecklenburg-Vorpommern,3,30,6.2,21.8,2.4,87.8,490225,0
2017-08-01,2017-08-31,Nordrhein-Westfalen,2,31,18.9,14.7,2.8,67.1,849507,4
2020-11-01,2020-11-30,Sachsen-Anhalt,3,30,7.1,15.2,0.7,80.4,456545,0
2011-07-01,2011-07-31,Rheinland-Pfalz,2,31,15.9,14.2,2.9,81.0,805440,4
2013-05-01,2013-05-31,Brandenburg,1,31,13.4,16.6,3.2,78.9,1030796,28
2010-07-01,2010-07-31,Bremen,2,31,20.8,15.5,1.7,66.0,461,0
2011-11-01,2011-11-30,Bayern,3,30,3.3,10.5,0.0,70.9,2487176,2
2018-09-01,2018-09-30,Hessen,3,30,17.2,10.7,1.0,67.7,839306,17
2018-09-01,2018-09-30,Niedersachsen,3,30,15.7,16.7,0.7,70.3,1014470,16
2010-11-01,2010-11-30,Rheinland-Pfalz,3,30,4.9,17.0,3.8,94.2,805440,0
2011-04-01,2011-04-30,Schleswig-Holstein,1,30,9.9,22.0,0.2,76.9,162014,0
2021-12-01,2021-12-31,Thuringen,4,31,2.0,16.0,1.2,89.2,540752,0
2018-03-01,2018-03-31,Hamburg,1,31,2.0,18.5,1.6,76.2,4016,0
2015-07-01,2015-07-31,Schleswig-Holstein,2,31,16.7,27.1,4.3,72.8,162014,0
2020-04-01,2020-04-30,Nordrhein-Westfalen,1,30,11.6,15.9,0.6,62.7,849507,82
2015-08-01,2015-08-31,Niedersachsen,2,31,19.6,18.1,3.4,67.5,1014470,12
2020-06-01,2020-06-30,Mecklenburg-Vorpommern,2,30,16.5,20.8,2.8,80.6,490225,6
2011-03-01,2011-03-31,Thuringen,1,31,3.9,14.2,0.4,77.3,527936,2
2022-05-01,2022-05-31,Mecklenburg-Vorpommern,1,31,12.5,22.4,2.6,78.8,495207,9
2010-12-01,2010-12-31,Brandenburg,4,31,-5.0,20.0,2.3,97.7,1030796,0
2020-01-01,2020-01-31,Rheinland-Pfalz,4,31,3.5,18.5,1.8,87.8,805440,0
2014-05-01,2014-05-31,Bremen,1,31,12.7,19.0,3.7,79.9,461,0
2022-02-01,2022-02-28,Rheinland-Pfalz,4,28,4.7,27.3,3.1,82.1,807783,1
2017-02-01,2017-02-28,Berlin,4,28,1.7,18.2,1.4,87.3,15752,0
2011-02-01,2011-02-28,Rheinland-Pfalz,4,28,2.1,14.0,1.0,89.0,805440,0
2012-02-01,2012-02-29,Mecklenburg-Vorpommern,4,1,-1.2,25.0,1.1,88.0,490225,1
2019-10-01,2019-10-31,Thuringen,3,31,10.7,17.8,1.8,83.1,527936,0
2019-07-01,2019-07-31,Baden-Wurttemberg,2,31,21.1,11.6,1.0,69.4,1352564,8
2013-03-01,2013-03-31,Hamburg,1,31,-1.4,21.5,0.8,88.8,4016,0
2021-06-01,2021-06-30,Mecklenburg-Vorpommern,2,30,17.9,16.8,1.6,77.0,495207,14
2012-10-01,2012-10-31,Berlin,3,31,9.2,16.8,1.5,77.8,15752,0
2018-03-01,2018-03-31,Mecklenburg-Vorpommern,1,31,0.8,24.7,2.4,81.1,490225,0
2019-09-01,2019-09-30,Mecklenburg-Vorpommern,3,30,14.5,25.5,2.8,79.0,490225,4
2022-04-01,2022-04-30,Berlin,1,30,8.2,20.8,1.3,62.4,15776,2
2010-09-01,2010-09-30,Sachsen-Anhalt,3,30,13.1,14.8,3.7,82.0,456545,4
