Modell;MSE;RMSE
svr-DATW;107.5857077561874;10.372353048184747
svr-DAHW;92.46196325401662;9.615714391246062
svr-JDAMW;107.63285951219476;10.37462575287392
svr-JDATW;97.66032794729128;9.88232401549814
svr-JDAHW;90.55000547061316;9.515776661450875
svr-DAMTW;102.06426199544124;10.102685880271704
svr-DAMHW;90.12300733930536;9.493313822860031
svr-DATHW;90.49954898043728;9.513125090128758
svr-JDAMTW;96.64846919910543;9.830995331048909
svr-JDAMHW;90.10437877061588;9.49233263063489
svr-JDATHW;87.58203027192484;9.3585271422337
svr-DAMTHW;86.65692622461549;9.308970202155312
svr-JDAMTHW-G;86.69954463686574;9.3112590253341
svr-DAW-G;117.9624735132946;10.861053057291205
svr-JDAW-G;109.9572667961477;10.48605105824627
svr-DAMW-G;113.2710056073451;10.642885210662808
svr-DATW-G;107.7556705918967;10.380542885220247
svr-DAHW-G;92.21765558832205;9.603002425716763
svr-JDAMW-G;107.8131563692246;10.383311435627103
svr-JDATW-G;97.55167601004788;9.876825198921356
svr-JDAHW-G;90.2388427147434;9.499412756309908
svr-DAMTW-G;103.39741864783193;10.16845212644638
svr-DAMHW-G;90.01769874390926;9.48776574035791
svr-DATHW-G;90.22644714548038;9.498760295190124
svr-JDAMTW-G;96.80820784122696;9.839116212405816
svr-JDAMHW-G;90.21831439081468;9.498332189959177
svr-JDATHW-G;87.70517089055805;9.36510389107126
svr-DAMTHW-G;86.58837752010581;9.305287610821377
